circuit_key,circuit_short_name
63,Sakhir
149,Jeddah
10,Melbourne
144,Baku
151,Miami
22,Monte Carlo
15,Catalunya
23,Montreal
19,Spielberg
2,Silverstone
4,Hungaroring
7,Spa-Francorchamps
55,Zandvoort
39,Monza
61,Singapore
46,Suzuka
150,Lusail
9,Austin
65,Mexico City
14,Interlagos
152,Las Vegas
70,Yas Marina Circuit
49,Shanghai
6,Imola
